ElectricalConductivity_composition_average,valence_composition_average,ICSDVolume_composition_average,HeatCapacityMass_arithmetic_average,SpaceGroupNumber_composition_average,BCCvolume_pa_composition_average,IsAlkalineEarth_composition_average,ICSDVolume_difference,AtomicVolume_composition_average,BCCenergy_pa_composition_average,BCCefflatcnt_composition_average,BCCvolume_padiff_composition_average,ThirdIonizationEnergy_arithmetic_average,HeatFusion_composition_average,GSenergy_pa_composition_average,IonizationEnergy_composition_average,AtomicWeight_arithmetic_average,IsHexagonal_composition_average,NUnfilled_composition_average,AtomicRadii_composition_average,BCCmagmom_composition_average,GSmagmom_composition_average,IsBCC_composition_average,HHIr_composition_average,ThermalConductivity_composition_average
4.848,2.76,21.691999999999997,0.4506,94.12,15.2872,0.08,44.3,11166.60540396242,-3.65698289,5.819523931679998,-1.1015,37.0378,4.224,-5.0529094636,1048.1760000000002,72.383174,0.12,2.96,1.08492,0.33780266000000003,0.33770604800000004,0.16,1196.0,30.93484
1.4739999999999998,2.96,20.989,0.4638,89.49000000000002,14.6081,0.04,44.9,11165.917827207704,-3.9898728281,5.767756643989999,-1.0130879310499998,36.975,4.1677,-5.416899321401001,1041.9260000000002,71.27922199999998,0.21,3.54,1.07297,0.207116611,0.07747007810344825,0.15,1321.0,8.63464
2.344,2.76,20.934,0.4638,88.34000000000002,14.6046,0.04,44.9,11165.85698501858,-3.8953566186,5.76714257334,-1.0044586207,36.975,4.3321999999999985,-5.3198905161339995,1043.956,71.27922199999998,0.26,3.4399999999999995,1.07362,0.25038982600000004,0.1548781320689655,0.1,1366.0,13.24364
3.2139999999999995,2.56,20.879,0.4638,87.19000000000003,14.6011,0.04,44.9,11165.796142829455,-3.8008404091,5.766528502690001,-0.99582931035,36.975,4.4967,-5.222881710867,1045.986,71.27922199999998,0.31,3.34,1.07427,0.293663041,0.2322861860344828,0.05,1411.0,17.85264
3.079,2.81,20.914,0.4578,91.29000000000002,14.641100000000002,0.04,44.9,11165.852526283295,-3.9021338681,5.77349373359,-1.01645,36.3718,4.3027,-5.306637187850001,1048.211,71.460613,0.21,3.39,1.07312,0.400930096,0.39402298,0.15,1261.0,19.491640000000004
3.414,2.66,20.884,0.4578,89.54,14.6266,0.04,44.9,11165.813451068978,-3.8368639786,5.7709672997400006,-1.0067,36.3718,4.4222,-5.2463824270999995,1048.146,71.460613,0.26,3.34,1.07372,0.379598816,0.3659134,0.1,1326.0,20.48164
3.749,2.51,20.854,0.4578,87.79,14.612100000000002,0.04,44.9,11165.774375854651,-3.7715940891,5.76844086589,-0.99695,36.3718,4.5417,-5.18612766635,1048.081,71.460613,0.31,3.29,1.0743200000000002,0.358267536,0.33780382,0.05,1391.0,21.47164
1.6740000000000002,3.06,20.994,0.4694,91.84000000000002,14.6336,0.04,44.3,11165.935135447224,-4.0258963975999995,5.77219544104,-1.0239586207,36.4052,4.0932,-5.440400037633999,1044.086,70.661583,0.16,3.54,1.0724200000000002,0.293052386,0.2110972920689655,0.2,1236.0,11.26364
2.942,2.8200000000000003,21.28,0.4624,93.5,14.9484,0.06,45.2,11166.214007969658,-3.7911914526,5.79377877694,-1.06365,36.7058,4.3546000000000005,-5.192430905299999,1047.6,71.412654,0.14,3.18,1.07818,0.34040145000000005,0.361521836,0.16,1198.0,18.722240000000006
2.948,2.84,20.456000000000003,0.4574,91.64,14.3912,0.04,44.9,11165.493706064455,-3.8916158972,5.75476307348,-1.0756,36.861,4.3892000000000015,-5.294093544000001,1045.808,71.861049,0.2,3.7200000000000006,1.06516,0.405067536,0.399644896,0.16,1248.0,19.133640000000003
1.306,2.98,20.965999999999998,0.4634,90.34,14.6964,0.06,44.9,11165.965039484694,-3.9257921226,5.771604191819999,-1.1027137931200002,37.4642,4.256,-5.3498861592544005,1039.634,71.67965799999998,0.18,3.66,1.07144,0.19833315199999998,0.0619884673103448,0.16,1310.0,7.3734399999999996
3.892,2.44,21.244,0.4574,88.68,15.037200000000002,0.08,44.9,11166.203283751822,-3.6161441652000006,5.794620993400001,-1.1136,36.861,4.6976,-5.0258414638,1046.712,71.861049,0.28,3.16,1.07948,0.353872464,0.33218190400000003,0.04,1400.0,21.15084
4.032,2.4000000000000004,22.104,0.4574,89.92,15.718,0.12,44.9,11167.006641953554,-3.4973201680000012,5.840542354559999,-1.175,36.861,4.7192,-4.9022008094,1047.772,71.861049,0.24,2.72,1.09236,0.353872464,0.33218190400000003,0.04,1396.0,20.792040000000004
4.18,2.3200000000000003,24.232,0.4596,92.64,17.7204,0.2,51.7,11169.192127410914,-3.2744071146,5.968259818480001,-1.2186,32.537000000000006,4.7438,-4.6693620201999995,1047.096,71.14491899999999,0.16,1.84,1.12232,0.353872464,0.33218190400000003,0.1,1346.0,20.966639999999998
4.135999999999999,2.3200000000000003,24.368,0.4596,92.72,17.934,0.2,51.7,11169.385050428877,-3.2793187616000004,5.980218065680001,-1.1922,32.537000000000006,4.7376000000000005,-4.6741761934,1046.164,71.14491899999999,0.16,1.84,1.12372,0.353872464,0.33218190400000003,0.12,1332.0,21.264040000000005
4.0920000000000005,2.3200000000000003,24.504,0.4596,92.8,18.1476,0.2,51.7,11169.577973446841,-3.2842304086,5.99217631288,-1.1658,32.537000000000006,4.731400000000002,-4.6789903666,1045.232,71.14491899999999,0.16,1.84,1.12512,0.353872464,0.33218190400000003,0.14,1318.0,21.56144
4.048,2.3200000000000003,24.64,0.4596,92.88,18.361200000000004,0.2,51.7,11169.770896464805,-3.2891420556,6.00413456008,-1.1394,32.537000000000006,4.7252,-4.6838045398000006,1044.3,71.14491899999999,0.16,1.84,1.12652,0.353872464,0.33218190400000003,0.16,1304.0,21.858840000000004
4.004,2.3200000000000003,24.776,0.4596,92.96,18.5748,0.2,51.7,11169.96381948277,-3.2940537026000003,6.016092807280001,-1.113,32.537000000000006,4.718999999999999,-4.688618713,1043.368,71.14491899999999,0.16,1.84,1.12792,0.353872464,0.33218190400000003,0.18,1290.0,22.156240000000004
3.304,2.72,23.451999999999998,0.4618,97.22,16.7892,0.18,45.2,11168.294183235774,-3.4142268386000003,5.916210910819999,-1.3096,36.911,4.4874,-4.8000434644,1048.762,71.65476,0.0,2.3600000000000003,1.1099,0.34028873600000004,0.361521836,0.16,1186.0,17.483840000000004
1.628,3.04,22.812,0.5584,93.9,16.247799999999998,0.14,43.8,11167.68078358521,-3.6597511216,5.88742557512,-1.25916551726,36.1696,4.0378,-5.0748734334612,1037.622,65.13099672,0.0,3.52,1.1002999999999998,0.14734312200000002,5.58217241379e-05,0.18,1250.0,7.48624
2.372,2.96,22.9,0.5584,94.06000000000002,16.375999999999998,0.14,43.8,11167.768417986248,-3.5553466490000005,5.90641446782,-1.25081379312,36.1696,3.9938,-4.9693705908544015,1034.826,65.13099672,0.0,3.5200000000000005,1.1041,0.13097166400000002,4.96193103448e-05,0.16,1234.0,12.06984
3.3999999999999995,2.74,23.248,0.4572000000000001,95.67000000000002,16.6332,0.16999999999999998,44.9,11168.090979992448,-3.5056371555000005,5.906256753130001,-1.2927,36.577,4.4165,-4.892343607900001,1049.397,71.70271899999999,0.04,2.62,1.10693,0.405067536,0.399644896,0.16,1235.0,17.934540000000005
3.074,2.8200000000000003,21.291999999999998,0.4578,92.26,14.9528,0.06,44.9,11166.216191019317,-3.8528293538,5.79455520758,-1.05625,36.3718,4.3034,-5.2537934882999995,1048.452,71.460613,0.18,3.22,1.0784599999999998,0.40518025,0.399644896,0.16,1246.0,19.094240000000006
3.136,2.8000000000000003,21.664,0.4578,92.88,15.2616,0.08,44.9,11166.572040712468,-3.7904708616,5.815111394800001,-1.0941,36.3718,4.328,-5.1888988366,1048.68,71.460613,0.16,3.04,1.0839199999999998,0.40516414799999995,0.399644896,0.16,1244.0,18.89484
3.538,2.62,21.628,0.4578,90.78000000000002,15.2442,0.08,44.9,11166.525150455283,-3.7121469942,5.81207967418,-1.0824,36.3718,4.4714,-5.1165931237,1048.6019999999999,71.460613,0.22,2.98,1.0846399999999998,0.379566612,0.3659134,0.1,1322.0,20.08284
3.94,2.4400000000000004,21.592,0.4578,88.68,15.2268,0.08,44.9,11166.478260198095,-3.6338231268,5.8090479535599995,-1.0707,36.3718,4.6148,-5.0442874108,1048.524,71.460613,0.28,2.92,1.08536,0.353969076,0.33218190400000003,0.04,1400.0,21.27084
2.878,2.9000000000000004,20.932,0.4578,92.34000000000002,14.6498,0.04,44.9,11165.87597141189,-3.9412958018,5.7750095939,-1.0223,36.37179999999999,4.231,-5.3427900443,1048.25,71.460613,0.18,3.42,1.07276,0.413728864,0.410888728,0.18,1222.0,18.897640000000006
3.414,2.66,20.884,0.4578,89.54,14.6266,0.04,44.9,11165.813451068978,-3.8368639786,5.7709672997400006,-1.0067,36.37179999999999,4.4222,-5.2463824270999995,1048.146,71.460613,0.26,3.34,1.07372,0.379598816,0.3659134,0.1,1326.0,20.48164
2.9479999999999995,2.8400000000000003,20.456000000000003,0.4574,91.64,14.3912,0.04,44.9,11165.493706064455,-3.8916158972,5.75476307348,-1.0756,36.861,4.3892,-5.294093544000001,1045.808,71.86104899999998,0.2,3.7200000000000006,1.06516,0.405067536,0.399644896,0.16,1248.0,19.133640000000003
1.236,3.0,20.535999999999998,0.4634,89.72000000000004,14.356000000000002,0.04,44.9,11165.563360383829,-3.9852041212000002,5.748643511240001,-1.07201379312,37.4642,4.2452,-5.411706486454401,1039.104,71.67965799999998,0.2,3.8800000000000012,1.065,0.19833315199999998,0.0619884673103448,0.16,1312.0,7.5528400000000016
1.626,2.34,22.304,0.563,64.62,15.986400000000005,0.06,38.7,11167.246852691675,-2.9097547326000006,5.985480471819999,-1.1355499999999998,45.7122,2.6294,-4.3183414691,1018.304,67.310574,0.22,3.62,1.10846,0.00014491799999999998,0.0,0.0,1242.0,15.397039999999999
